gph_code,id_name,gph_continent,geo_name,geo_continent,included,partially_included,nbflowspartner,bilateralperiodspartner
10,Greenland,America,America,America,1,,477,"1826,1829-1912,1917-1937"
10,Greenland,America,Central America,America,,,914,1825-1938
10,Greenland,America,Central America (West),America,,,10,"1857,1859-1867"
10,Greenland,America,Gulf of Mexico,America,,,10,1845-1849
10,Greenland,America,Lesser Antilles,America,,,1,1870-1870
10,Greenland,America,North Western America,America,,,4,"1821,1826-1827"
10,Greenland,America,Northern America,America,,,216,"1831-1833,1837-1838,1844-1889,1891-1902"
10,Greenland,America,Southern America,America,,,500,"1837-1841,1844-1845,1847-1848,1850,1852-1938"
10,Greenland,America,West Indies,America,,,830,1830-1938
10,Greenland,America,West Indies (East),America,,,1,1872-1872
10,Greenland,America,West Indies (West),America,,,1,1873-1873
10,Greenland,America,West Indies (continental),America,,,14,1930-1938
10,Greenland,America,Western America,America,,,37,"1845-1856,1858,1868-1886"
10,Greenland,America,Antarctic,Antarctic,,,33,"1896-1900,1913,1929-1938"
10,Greenland,America,Arctic,Arctic,,,15,"1874-1876,1897,1899-1901,1925,1933-1935,1937-1938"
10,Greenland,America,Atlantic Ocean,Atlantic,,,4,"1850,1852-1854"
10,Greenland,America,Transatlantic Ports,Atlantic,,,4,1891-1892
10,Greenland,America,Pacific Islands,Pacific,,,494,"1821,1826-1827,1833,1837-1938"
10,Greenland,America,Pacific Ports,Pacific,,,1,1856-1856
10,Greenland,America,America & Europe,World,,,,
10,Greenland,America,Black Sea,World,,,,
10,Greenland,America,Caucasus,World,,,5,"1921,1924,1926-1928"
10,Greenland,America,Central Powers Occupied Territories,World,,,7,"1912-1913,1917-1918"
10,Greenland,America,Free entrepots,World,,,,
10,Greenland,America,Free ports,World,,,13,"1895-1896,1910-1911,1928-1931,1933,1936-1936"
10,Greenland,America,International waters,World,,,27,"1913-1914,1916,1922-1929,1931-1938"
10,Greenland,America,Mediterranean Sea,World,,,64,"1830,1833-1835,1841-1844,1846,1848-1867"
10,Greenland,America,Red Sea,World,,,4,1919-1920
100,Colombia (New Granada) (Gran Colombia),America,America,America,1,,477,"1826,1829-1912,1917-1937"
100,Colombia (New Granada) (Gran Colombia),America,Central America,America,,,914,1825-1938
100,Colombia (New Granada) (Gran Colombia),America,Central America (West),America,,,10,"1857,1859-1867"
100,Colombia (New Granada) (Gran Colombia),America,Gulf of Mexico,America,,,10,1845-1849
100,Colombia (New Granada) (Gran Colombia),America,Lesser Antilles,America,,,1,1870-1870
100,Colombia (New Granada) (Gran Colombia),America,North Western America,America,,,4,"1821,1826-1827"
100,Colombia (New Granada) (Gran Colombia),America,Northern America,America,,,216,"1831-1833,1837-1838,1844-1889,1891-1902"
