GPH_code,GPH_name,start_year,end_year,GPH_status,sovereign_GPH_code
212,Luxemburg,1842,1867,Member of,255
239,Prussia,1816,1867,Member of,255
240,Hanover,1851,1867,Member of,255
241,Anhalt Dessau,1816,1863,Member of,255
242,Anhalt Köthen,1816,1853,Member of,255
243,Anhalt Bernburg,1816,1863,Member of,255
244,Brunswick,1841,1867,Member of,255
245,Bavaria,1816,1867,Member of,255
247,Frankfurt,1836,1867,Member of,255
249,Saxony Anhalt (Anhalt),1863,1867,Member of,255
252,Lippe,1841,1867,Member of,255
254,Nassau,1835,1867,Member of,255
257,Oldenburg,1852,1867,Member of,255
258,"Reuss, Older Line",1816,1867,Member of,255
259,"Reuss, Younger Line",1816,1867,Member of,255
261,Saxe Weimar Eisenach,1816,1867,Member of,255
262,Saxe Altenburg,1816,1867,Member of,255
264,Saxe Coburg and Gotha,1816,1867,Member of,255
266,Saxe Meiningen,1816,1867,Member of,255
267,Baden,1816,1867,Member of,255
268,Schwarzburg Sondershausen,1816,1867,Member of,255
269,Saxony,1816,1867,Member of,255
270,Schwarzburg Rudolstadt,1816,1867,Member of,255
271,Wuerttemberg,1816,1867,Member of,255
272,Waldeck and Pyrmont,1816,1867,Member of,255
273,Hesse Electoral,1816,1867,Member of,255
274,Schaumburg Lippe,1851,1867,Member of,255
275,People’s State of Hesse (Hesse Grand Ducal),1816,1867,Member of,255
277,Hesse Homburg,1816,1867,Member of,255
324,Kingdom of Sardinia,1816,1861,Member of,325
329,Two Sicilies,1816,1860,Member of,325
332,Modena,1842,1859,Member of,325
335,Parma,1816,1859,Member of,325
337,Tuscany,1816,1859,Member of,325
821,Federated Malay States,1896,1942,Member of,820
827,Straits Settlements,1826,1942,Member of,820
8201,Perak,1874,1895,Member of,820
8202,Selangore,1875,1895,Member of,820
8203,Pahang,1888,1895,Member of,820
8210,Negeri Sembilan,1874,1895,Member of,820
8221,Johore,1914,1942,Member of,820
8222,Kedah,1909,1942,Member of,820
8223,Kelantan,1909,1942,Member of,820
8224,Perlis,1909,1942,Member of,820
8225,Trengganu,1909,1942,Member of,820
901,New South Wales,1816,1901,Member of,900
902,Western Australia,1829,1901,Member of,900
903,South Australia,1836,1901,Member of,900
904,Victoria,1851,1901,Member of,900
905,Queensland,1859,1901,Member of,900
906,Tasmania,1825,1901,Member of,900
