id,year,nbGPHAutonomousCited,nbReportingFT,nbReportingBilateral,nbReportingByAggregation,nbReportingBySplit,worldBilateral,worldFT,inFTNotInBilateral,inBilateralNotInFT,reportedNetworkDensity,generatedNetworkDensity,discarded_flows,discarded_value,failed_flows,failed_value,generated_by_aggregation_flows,generated_by_aggregation_value,generated_by_gravity_flows,generated_by_gravity_value,generated_by_years_ratio_flows,generated_by_years_ratio_value,good_as_reported_flows,good_as_reported_value,problematic_flows,generated_flows,percentage generated flows,generated_value,,agg_perc_flow,gravity_perc_flow,ratio_perc_flows,desnity growth,
,1833,101,89,25,15,0,226983047.552179,368577377.420492,"Angola|Australia|Bahamas|Barbados|Belize (British Honduras)|Bermuda|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Prussia|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Madeira Isles|Cape Verde|United States of Central America|St. Helena|New South Wales|Maldive Islands|Portuguese India|Tranquebar|Hamburg|Ionian Is.|Papal States|Two Sicilies|Hanover|Mecklenburg Schwerin|Bremen|Oldenburg|Egypt Arab Republic (Egypt)|Greece|Tuscany|Iran (Persia)|Tobago|Congress Poland|Cracow (Free City of Cracow)|Reunion (Bourbon I.)|Senegal|Thailand (Siam)|Japan|Antigua and Barbuda (Antigua)|Quebec (Lower Canada)|Dominica|Parma|Kingdom of Sardinia|Khiva|Bokhara|Kokand|St. Kitts|Western Australia|Myanmar (Burma)|Sindh|Moldavia|Wallachia|Tripolitania (Regency of Tripoli)|Syria|Channel Is.|Isle of Man|Hyderabad|Macao|Saxony|Lübeck|Vietnam,0.0199490662139219,0.0453068058701862,742,89051743.1508836,113,32278368.8736955,318,57729519.7692114,154,10887838.2899119,55,4174601.61767417,404,154191087.875382,1382,1269,0.918234442836469,72791959.6767974,0.280766651205924,0.230101302460203,0.111432706222865,0.0397973950795948,0.0253577396562643,1.2711241410672
,1834,96,89,23,16,0,256408010.247874,396058393.129148,"Angola|Australia|Bahamas|Barbados|Bermuda|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Hawaii (Sandwich Is.)|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Hamburg|Ionian Is.|Papal States|Two Sicilies|Tripolitania (Regency of Tripoli)|Egypt Arab Republic (Egypt)|Prussia|Greece|Kingdom of Sardinia|Tuscany|Malta|Lübeck|Gibraltar|Madeira Isles|Cape Colony (Cape of Good Hope)|Cape Verde|St. Helena|Reunion (Bourbon I.)|Thailand (Siam)|Dominica|Moldavia|Senegal|United States of Central America|Hanover|Bremen|Japan|Cocos (Keeling) Is.|Parma|Congress Poland|Iran (Persia)|Khiva|Bokhara|Kokand|Mecklenburg Schwerin|Cracow (Free City of Cracow)|New South Wales|Maldive Islands|Tranquebar|Portuguese India|Oldenburg|Channel Is.|Isle of Man|Syria|Hyderabad|Macao|Myanmar (Burma)|Sindh|Windward Is.|Vietnam,0.019245505452402,0.0488407041648776,823,106367962.159499,97,32721216.2357714,324,73373409.480403,129,11437968.0563074,69,7614553.84386791,425,163982078.867296,1442,1345,0.932732316227462,92425931.3805783,0.319669970776221,0.24089219330855,0.0894590846047157,0.0478502080443828,0.0295951987124756,1.53777196372787
,1835,100,89,23,14,0,272434144.921963,425633307.032194,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Hawaii (Sandwich Is.)|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Morocco|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Hamburg|Prussia|Hanover|Bremen|Two Sicilies|Papal States|Egypt Arab Republic (Egypt)|Tuscany|Greece|Kingdom of Sardinia|Syria|Parma|Malta|Gibraltar|Ionian Is.|Cape Colony (Cape of Good Hope)|Cape Verde|St. Helena|Reunion (Bourbon I.)|Senegal|Lübeck|Thailand (Siam)|Japan|United States of Central America|Dominica|Ascension I.|Crozet Is.|Madagascar (Malagasy Republic)|Tripolitania (Regency of Tripoli)|Congress Poland|Iran (Persia)|Khiva|Bokhara|Kokand|New South Wales|Maldive Islands|Tranquebar|Portuguese India|Oldenburg|Channel Is.|Isle of Man|Mecklenburg Schwerin|Hyderabad|Macao|Western Australia|Tasmania|New Brunswick|Holstein|Myanmar (Burma)|Sindh|Windward Is.|Vietnam,0.0175886367419409,0.0459770114942529,817,106756754.739274,96,30997306.3656869,358,72306777.0094753,186,14265214.8023665,75,7411846.50384769,397,178450306.606273,1532,1436,0.93733681462141,93983838.3156894,0.309736640407108,0.249303621169916,0.121409921671018,0.0489556135770235,0.028388374752312,1.61401791217956
,1836,99,89,23,14,0,321615281.398182,512219386.347247,"Angola|Australia|Barbados|Bermuda|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|Ecuador|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Ionian Is.|Papal States|Greece|Prussia|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Cape Verde|United States of Central America|Egypt Arab Republic (Egypt)|Hamburg|Hanover|Bremen|Oldenburg|Tuscany|Syria|Macao|Kingdom of Sardinia|Parma|St. Helena|Reunion (Bourbon I.)|Senegal|Thailand (Siam)|Japan|Cocos (Keeling) Is.|New South Wales|Maldive Islands|Ascension I.|South Australia|Lübeck|Bolivia-Peru Confederation|Quebec (Lower Canada)|Mecklenburg Schwerin|Congress Poland|Iran (Persia)|Khiva|Bokhara|Kokand|Western Australia|Portuguese India|Tranquebar|Channel Is.|Isle of Man|Hyderabad|Myanmar (Burma)|Nova Scotia|New Brunswick|Sindh|Windward Is.|Vietnam,0.01866930171278,0.0463391591875295,925,127946996.306699,74,28921216.5242994,381,86881949.3409237,202,21188480.4170182,79,8470725.83833777,455,205074125.801902,1661,1587,0.955448524984949,116541155.59628,0.332465110728789,0.24007561436673,0.121613485851896,0.0475617098133654,0.0276698574747496,1.48210457468842
,1837,99,89,27,10,1,276041949.800446,440517110.857049,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Jamaica|Kenya (British East Africa Protectorate) & Uganda|Leeward Is.|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Peru|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Reunion (Bourbon I.)|Mecklenburg Schwerin|Senegal|Tuscany|Ionian Is.|Papal States|Parma|Hamburg|Prussia|Hanover|Bremen|Gibraltar|Oldenburg|Malta|Cape Colony (Cape of Good Hope)|Cape Verde|Texas|United States of Central America|St. Helena|New South Wales|South Australia|Saxony|Bolivia-Peru Confederation|Thailand (Siam)|Japan|Syria|Quebec (Lower Canada)|Congress Poland|Iran (Persia)|Bokhara|Kokand|Khiva|Wallachia|Lübeck|Maldive Islands|Tranquebar|Portuguese India|Monaco|Channel Is.|Isle of Man|Nova Scotia|Hyderabad|Macao|Myanmar (Burma)|Sindh|Vietnam|Windward Is.,0.0185734894301726,0.0423563364739835,761,90035214.0952242,111,34055148.0282322,323,57733887.6990349,165,15434575.5011365,87,7751100.14551881,519,195122386.454756,1447,1336,0.923289564616448,80919563.3456902,0.26094911533289,0.241766467065868,0.114029025570145,0.060124395300622,0.023782847043811,1.28047274763437
,1838,111,90,18,15,0,250383200.975551,494635208.304577,"Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Guatemala|Honduras|Italy|Jamaica|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|New Zealand|Nicaragua|Nigeria|Paraguay|Peru|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Mecklenburg Schwerin|Senegal|Tuscany|Prussia|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Cape Verde|Texas|United States of Central America|Sulu Sultanate|Hamburg|Mariana Is.|Ionian Is.|St. Helena|Ascension I.|Papal States|Hanover|Syria|Japan|New South Wales|Quebec (Lower Canada)|Bali|Riau|Thailand (Siam)|Congress Poland|Iran (Persia)|Bokhara|Kokand|Khiva|Hyderabad|Prince Edward Is.|Crozet Is.|Madagascar (Malagasy Republic)|New Brunswick|Tasmania|Ancona|Bolivia-Peru Confederation|Parma|Maldive Islands|Tranquebar|Portuguese India|Monaco|Western Australia|Macao|Channel Is.|Isle of Man|Bremen|Oldenburg|Myanmar (Burma)|Moldavia|Sindh|Windward Is.|Vietnam,0.0155469838208507,0.0350984777433086,1068,127837143.00075,84,26646679.1647217,436,76457184.5190182,192,17605894.6994925,81,10075777.4871339,327,146244344.269906,1861,1777,0.954862976894143,104138856.705645,0.375912001452386,0.245357343837929,0.103170338527673,0.0435249865663622,0.0195514939224578,1.25757472624603
,1839,104,90,29,15,0,315322652.033202,547215955.704101,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Hawaii (Sandwich Is.)|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Mozambique (Portuguese East Africa)|New Zealand|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Mecklenburg Schwerin|Senegal|Tuscany|Malta|Ionian Is.|Papal States|Prussia|Gibraltar|Cape Colony (Cape of Good Hope)|Cape Verde|Texas|United States of Central America|Syria|Ancona|Hamburg|New South Wales|St. Helena|Crozet Is.|Tasmania|South Australia|Ascension I.|Dominica|Hanover|Bremen|Oldenburg|Bolivia-Peru Confederation|Quebec (Lower Canada)|Bali|Riau|Thailand (Siam)|Congress Poland|Iran (Persia)|Bokhara|Kokand|Wallachia|Maldive Islands|Tranquebar|Portuguese India|Monaco|Natal|Channel Is.|Isle of Man|Parma|Myanmar (Burma)|Sindh|Windward Is.|Vietnam,0.0171689152271677,0.0446222434519545,1110,134896206.839087,110,43584094.7687621,383,66056709.066387,271,15839711,99,13962985.4613567,457,219463246.505458,1973,1863,0.944247339077547,95859405.5277437,0.267087220794533,0.205582393988191,0.137354282818044,0.0501773948302078,0.0274533282247868,1.59901355802289
,1840,112,90,25,14,0,313649979.482646,564488388.427834,"Australia|Barbados|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|El Salvador|Falkland Is.|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Honduras|Italy|Jamaica|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)|Zanzibar",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Mecklenburg Schwerin|Senegal|Tuscany|Hamburg|New South Wales|South Australia|St. Helena|Crozet Is.|Cocos (Keeling) Is.|Lombok|Tasmania|Prussia|Hanover|Greenland|Bremen|Gibraltar|Malta|Ionian Is.|Cape Colony (Cape of Good Hope)|Cape Verde|Dominica|Iran (Persia)|Syria|Papal States|Parma|Japan|Texas|United States of Central America|Quebec (Lower Canada)|Luxemburg|Bali|Riau|Thailand (Siam)|Congress Poland|Khiva|Bokhara|Kokand|Maldive Islands|Tranquebar|Portuguese India|Monaco|Myanmar (Burma)|Natal|Western Australia|Lübeck|Channel Is.|Isle of Man|Oldenburg|Sindh|Windward Is.|Vietnam,0.0160091480846198,0.0369996519317786,1055,140379315.903292,117,40744313.2611171,317,61603429.8908956,185,12372985.6253032,94,18288589.2862983,504,221384974.680148,1768,1651,0.933823529411765,92265004.802497,0.260345628277957,0.192004845548153,0.104638009049774,0.0531674208144796,0.0209905038471588,1.31115682959574
,1841,113,90,31,9,0,304940629.19052,559176082.815034,"Angola|Australia|Barbados|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Honduras|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Hanover|Mecklenburg Schwerin|Senegal|Texas|Tuscany|Gibraltar|Malta|Ionian Is.|New South Wales|Cape Colony (Cape of Good Hope)|Western Australia|South Australia|Madagascar (Malagasy Republic)|East Timor (Portuguese Timor)|Cape Verde|Portuguese India|Maldive Islands|Papal States|St. Helena|Hamburg|Prussia|Greenland|Bremen|Crozet Is.|Lombok|Tasmania|Dominica|Iran (Persia)|United States of Central America|Channel Is.|Quebec (Lower Canada)|Luxemburg|Congress Poland|Khiva|Bokhara|Kokand|Tranquebar|Monaco|Myanmar (Burma)|Thailand (Siam)|Lübeck|Natal|Heligoland|Oldenburg|Ascension I.|Parma|Bavaria|Frankfurt|Saxony|Sindh|Windward Is.|Vietnam,0.0150452976704055,0.0390303729889618,744,127984968.271651,225,55276437.4780858,206,45668616.1282573,154,17325633.681129,95,12950496.2825152,484,228995883.098619,1424,1199,0.841994382022472,75944746.0919016,0.210830505045919,0.171809841534612,0.10814606741573,0.0667134831460674,0.0239850753185563,1.594190812571
,1842,111,90,28,12,0,271141321.063811,513632495.556641,"Angola|Australia|Barbados|Belize (British Honduras)|Bolivia|Canada (Province of Canada)|Canary Is.|Ceuta & Melilla|Costa Rica|Dominican Republic (Santo Domingo)|El Salvador|Finland|French West Africa & Togo (French Togoland)|Gambia|Germany (Zollverein)|Ghana (Gold Coast)|Grenada|Italy|Kenya (British East Africa Protectorate) & Uganda|Malawi (Nyasaland) (British Central Africa Protectorate)|Nicaragua|Nigeria|Paraguay|Seychelles|South Africa|St. Barthelemy|St. Lucia|St. Vincent and the Grenadines|Surinam (Dutch Guiana)|Tanzania (Tanganyika)|Trinidad and Tobago|Turks and Caicos Is.|Yugoslavia (Kingdom of Serbs, Croats and Slovenes)",Two Sicilies|Egypt Arab Republic (Egypt)|Kingdom of Sardinia|Greece|Hanover|Mecklenburg Schwerin|Senegal|Texas|Tuscany|Hamburg|Prussia|Greenland|Gibraltar|Malta|Cape Colony (Cape of Good Hope)|Maldive Islands|New South Wales|St. Helena|Dominica|Cape Verde|Ionian Is.|Papal States|Iran (Persia)|Crozet Is.|Madagascar (Malagasy Republic)|Bremen|Tasmania|East Timor (Portuguese Timor)|Nova Scotia|Channel Is.|Congress Poland|Khiva|Bokhara|Kokand|Sulu Sultanate|Western Australia|South Australia|Liberia|Luxemburg|Monaco|Lübeck|Myanmar (Burma)|Thailand (Siam)|Natal|Heligoland|Oldenburg|Ascension I.|Modena|Parma|Bavaria|Frankfurt|Saxony|Windward Is.|Vietnam,0.0172324234475236,0.0415193708967607,685,96750218.6204726,214,37482437.7484631,253,43372764.4350632,179,17578843,110,14989367.4339004,485,195200346.194847,1441,1227,0.851492019430951,75940974.8689635,0.246063281586678,0.206193969030155,0.124219292158223,0.0763358778625954,0.0242869474492371,1.40937503788693
